naziv proizvoda	šifra proizvoda	marka proizvoda	neto količina(KG)	jedinica mjere	maloprod.cijena(EUR)	akc.cijena, A=akcija	kol.jed.mj.	jed.mj. (1 KOM/L/KG)	cijena jed.mj.(EUR)	MPC poseb.oblik prod	Najniža MPC u 30dana	Sidrena cijena	barkod	WG
Gavrilović jetrena pašteta 30 g	01400364	Gavrilović	0.030	KOM	       0,85		1.000					MPC 2.5.2025=0,85€	3858881220126	HRANA
Gavrilović čajna pašteta  30 g	01400366	Gavrilović	0.030	KOM	       0,85		1.000					MPC 2.5.2025=0,85€	3858881220102	HRANA
Podravka kokošja pašteta 135 g	01400390	Podravka	0.135	KOM	       1,55		1	KG	11,48			MPC 2.5.2025=1,45€	3850104020452	HRANA
Podravka pileći narezak   lim. 150 g	01400396	Podravka	0.150	KOM	       1,99		1	KG	13,27			MPC 2.5.2025=1,89€	3850104055706	HRANA
Podravka pureći  narezak lim. 150 g	01400397	Podravka	0.150	KOM	       1,99		1	KG	13,27			MPC 2.5.2025=1,89€	3850104031748	HRANA
Podravka mesni narezak 150 g	01400560	Podravka	0.150	KOM	       1,99		1	KG	13,27			MPC 2.5.2025=1,89€	3859890848196	HRANA
Argeta kokošja pašteta 95 g	01400750	Argeta	0.095	KOM	       1,19	A	1	KG	12,53	       1,19	1,19	MPC 2.5.2025=1,39€	3838975567009	HRANA
Argeta kokošja junior pašteta 95 g	01400770	Argeta	0.095	KOM	       1,19	A	1	KG	12,53	       1,19	1,19	MPC 2.5.2025=1,39€	3838975567016	HRANA
Argeta jetrena kokošja pašteta 95 g	01400772	Argeta	0.095	KOM	       1,39		1	KG	14,63			MPC 2.5.2025=1,39€	3838975567030	HRANA
Argeta kokošja pašteta pikant 95 g	01400810	Argeta	0.095	KOM	       1,19	A	1	KG	12,53	       1,19	1,19	MPC 2.5.2025=1,39€	3838471007382	HRANA
Gavrilović Gala mesni narezak 150 g	01400870	Gala	0.150	KOM	       1,45		1	KG	9,667			MPC 2.5.2025=1,45€	3858881224193	HRANA
PPK Karlovac pileća pašteta 100 g	01400890	PPK Karlovac	0.100	KOM	       0,69		1	KG	 6,9			MPC 2.5.2025=0,69€	3858881617070	HRANA
PPK Karlovac Pašteta čajna 100g_OC	01400891	PPK Karlovac	0.100	KOM	       0,69		1	KG	 6,9			MPC 2.5.2025=0,69€	3858881615069	HRANA
Argeta kokošja pašteta 3 x 95 g	01400951	Argeta	0.285	KOM	       3,99		1	KG	  14			MPC 2.5.2025=3,99€	3838975567214	HRANA
Argeta junior kokošja pašteta prom 3x95g	01400952	Argeta	0.285	KOM	       3,99		1	KG	  14			MPC 2.5.2025=3,99€	3838471013185	HRANA
Argeta kokošja pašteta 45 g	01401000	Argeta	0.045	KOM	       0,95		1.000					MPC 2.5.2025=0,89€	38381423	HRANA
Argeta junior kokošja pašteta 45 g	01401092	Argeta	0.045	KOM	       0,95		1.000					MPC 2.5.2025=0,89€	38381447	HRANA
Vegetariana namaz s maslinama 2x50 g	01401130	Vegetariana	0.100	KOM	       1,89		1	KG	18,9			MPC 2.5.2025=1,89€	3859892560300	HRANA
Vegetariana namaz s šampinj. 2x50 g	01401131	Vegetariana	0.100	KOM	       1,89		1	KG	18,9			MPC 2.5.2025=1,89€	3859892560294	HRANA
Vegetariana namaz s tartufima 2x50 g	01401132	Vegetariana	0.100	KOM	       3,49		1	KG	34,9			MPC 2.5.2025=3,49€	3859892560324	HRANA
Podravka pikant kokošja pašt. 50g	01401170	Podravka	0.050	KOM	       0,85		1	KG	  17			MPC 2.5.2025=0,85€	38502361	HRANA
Gavrilović mesni doručak 2 x 150 g	01401190	Gavrilović	0.300	KOM	       3,99		1	KG	13,3			MPC 2.5.2025=3,99€	3859892502744	HRANA
Gavrilović šunka narezak 150 g	01401193	Gavrilović	0.150	KOM	       2,15		1	KG	14,33			MPC 2.5.2025=2,15€	3858881227927	HRANA
Rio Mare Tuna u maslinovom ulju160g/104g	01500510	Rio Mare	0.160	KOM	       4,49		1	KG	43,17			MPC 2.5.2025=3,99€	8004030044005	HRANA
Rio Mare Patè namaz od tune 100g tuba	01500530	Rio Mare	0.100	KOM	       1,79	A	1	KG	17,9	       1,79	3,59	MPC 2.5.2025=3,59€	8004030069008	HRANA
Rio Mare Patè namaz od lososa 100g tuba	01500532	Rio Mare	0.100	KOM	       1,79	A	1	KG	17,9	       1,79	3,59	MPC 2.5.2025=3,59€	8004030070004	HRANA
Rio Mare tuna u masl. ulje 2x160g	01500540	Rio Mare	0.320	KOM	       4,39	A	1	KG	13,72	       4,39	6,99	MPC 2.5.2025=6,99€	8004030381681	HRANA
Rio Mare Insalat.salata tuna beans 160g	01500561	Rio Mare	0.160	KOM	       4,30		1	KG	26,88			MPC 2.5.2025=4,65€	8004030023017	HRANA
Rio Mare Insalat.salata Tuna Messic.160g	01500562	Rio Mare	0.160	KOM	       4,30		1	KG	26,88			MPC 2.5.2025=4,65€	8004030026018	HRANA
Rio Mare Insalatis.salata tuna corn 160g	01500563	Rio Mare	0.160	KOM	       4,30		1	KG	26,88			MPC 2.5.2025=4,65€	8004030022010	HRANA
Rio Mare Insal.tuna - kuk.salata 2x160g	01500777	Rio Mare	0.320	KOM	       4,29	A	1	KG	13,41	       4,29	4,29	MPC 2.5.2025=8,59€	8004030352513	HRANA
Rio Mare Tunjevina u masl.ulju 3x80g/52g	01500882	Rio Mare	0.240	KOM	       5,89		1	KG	37,76			MPC 2.5.2025=5,89€	8004030345775	HRANA
Rio Mare Insal.tuna u mex.salati 2x160g	01500892	Rio Mare	0.320	KOM	       4,29	A	1	KG	13,41	       4,29	4,29	MPC 2.5.2025=8,59€	8004030352612	HRANA
Argeta pašteta od tune 95 g	01500932	Argeta	0.095	KOM	       1,99		1	KG	20,95			MPC 2.5.2025=1,99€	3838975567061	HRANA
Eva tuna komadići u bilj. ulju 160g/112g	01500990	Eva	0.160	KOM	       2,29		1	KG	14,31			MPC 2.5.2025=2,29€	3850104267031	HRANA
Argeta pašteta od lososa 95 g	01501141	Argeta	0.095	KOM	       2,39		1	KG	25,16			MPC 2.5.2025=2,39€	3838471013109	HRANA
Argeta pašteta od tune siciliana 95 g	01501320	Argeta	0.095	KOM	       1,99		1	KG	20,95			MPC 2.5.2025=1,99€	3838471015868	HRANA
Argeta pašteta junior Supertuna 95 g	01501450	Argeta	0.095	KOM	       1,99		1	KG	20,95			MPC 2.5.2025=1,99€	3838471019057	HRANA
Giana Sardine u biljnom ulju 125/90 g_OC	01501794	Giana	0.125	KOM	       1,29		1	KG	10,32			MPC 2.5.2025=1,19€	8594012792104	HRANA
Zvijezda stolni margarin 80% 250 g	01600010	Zvijezda	0.250	KOM	       1,15		1	KG	 4,6			MPC 2.5.2025=0,95€	3858882210102	HRANA
Zvijezda stolni margarin 60% 500 g	01600011	Zvijezda	0.500	KOM	       1,99		1	KG	3,98			MPC 2.5.2025=1,65€	3858882210553	HRANA
Zvijezda margarin za kreme 250g	01600012	Zvijezda	0.250	KOM	       1,15		1	KG	 4,6			MPC 2.5.2025=1,05€	3858882211611	HRANA
Zvijezda biljna mast 500 g	01600018	Zvijezda	0.500	KOM	       2,65		1	KG	 5,3			MPC 2.5.2025=2,65€	3858882210201	HRANA
Margo classic margarin 15 g	01600170	Margo	0.015	KOM	       0,35		1.000					MPC 2.5.2025=0,39€	3858882213677	HRANA
Margarita margarin 25% 500 g	01600230	Margarita	0.500	KOM	       1,59		1	KG	3,18			MPC 2.5.2025=1,79€	3858883227406	HRANA
Zvijezda Klasik margarin 60% 250 g	01600510	Zvijezda	0.250	KOM	       0,89		1	KG	3,56			MPC 2.5.2025=0,76€	3856015301901	HRANA
Tikveš Vino crno Vitač 1 L	01700022	Tikveš	1	KOM	       4,49		1	L				MPC 2.5.2025=4,49€	5310008006047	PIĆE
Kupinovo vino Čuk 0,75L	01700023	Čuk	0.750	KOM	       9,89		1	L	13,05			MPC 2.5.2025=11,02€	3859890123019	PIĆE
Rose Benkovac kval. vino 0,75 l	01700031	Benkovac	0.740	KOM	       7,02		1	L	9,227			MPC 2.5.2025=7,02€	3850112163134	PIĆE
Ivan Dolac crno vrhunsko vino 0,75 l	01700036	Ivan Dolac	0.750	KOM	      16,02		1	L	21,23			MPC 2.5.2025=16,02€	3850112164018	PIĆE
Pelješac Badel 1862 kval. vino 0,75 l	01700043	Badel 1862	0.750	KOM	       6,02		1	L	7,893			MPC 2.5.2025=6,02€	3850112170644	PIĆE
Pelješac Badel 1862 kval. vino 1 l	01700044	Badel 1862	1	KOM	       5,99		1.000					MPC 2.5.2025=5,52€	3850112170637	PIĆE
Plavac Badel 1862 kval. vino 1 l	01700046	Badel 1862	1	KOM	       5,52		1.000					MPC 2.5.2025=5,52€	3850112170613	PIĆE
Vina Laguna Cabernet Sauv. 0,75 l	01700062	Vina Laguna	1	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,38€	3858881190597	PIĆE
Skaramuča Plavac kvalitetno vino 0,75 l	01700079	Vina Skaramuča	0.750	KOM	       5,49		1	L	7,187			MPC 2.5.2025=5,09€	3859888214026	PIĆE
Tikveš Vino crno Tga za jug Vranec 0,75L	01700101	Tikveš	0.750	KOM	       5,29		1	L	6,92			MPC 2.5.2025=5,29€	5310008007129	PIĆE
Merlot Laguna kval. vino 1 l	01700220	Laguna	1	KOM	       5,42		1.000					MPC 2.5.2025=5,42€	3858881190818	PIĆE
Plavac Hvar crno kvalitetno vino 0,75 l	01700280	PZ Svirče	0.750	KOM	       7,82		1	L	10,29			MPC 2.5.2025=7,82€	3850112169143	PIĆE
Zlatan Plavac Hvar vrhunsko vino 0,75 l	01700320	Zlatan Otok	0.750	KOM	      14,99		1	L	19,85			MPC 2.5.2025=14,22€	3859888437029	PIĆE
J.P. Chenet Cabernet Syrah 0,75 l	01700323	J.P. Chenet	0.750	KOM	       5,99		1	L	7,853			MPC 2.5.2025=5,02€	3263286301323	PIĆE
Pelješac Putniković crno kval.vino 1l	01700347	Putniković	1	KOM	       3,98		1.000					MPC 2.5.2025=3,98€	3859889291019	PIĆE
Vina Laguna Teran kv. vino 0,75 l	01700423	Vina Laguna	0.750	KOM	       6,72		1	L	8,827			MPC 2.5.2025=6,72€	3858881190207	PIĆE
Frankovka Feravino kvalitetno 1 l	01700640	Feravino	1	KOM	       5,02		1.000					MPC 2.5.2025=5,02€	3859888852051	PIĆE
Dika Frankovka Feravino kval. 0,75 l	01700642	Feravino Dika	0.750	KOM	       6,32		1	L	8,293			MPC 2.5.2025=6,32€	3859888852037	PIĆE
Dika Zweigelt Feravino kval. 0,75 l	01700643	Feravino Dika	0.750	KOM	       6,32		1	L	8,293			MPC 2.5.2025=6,32€	3859888852594	PIĆE
J.P. Chenet Merlot kval.vino 0,75 l	01700682	J.P.Chenet	0.750	KOM	       5,99		1	L	7,853			MPC 2.5.2025=5,02€	3263286328993	PIĆE
Cattunar Merlot kvalitetno vino 0,75 l	01700694	Cattunar	0.750	KOM	      13,02		1	L	17,23			MPC 2.5.2025=13,02€	3859890724087	PIĆE
Cabernet Sauvignon Laguna 1 l	01700740	Laguna	1	KOM	       5,32		1.000					MPC 2.5.2025=5,32€	3858881190825	PIĆE
Veritas Vranac 1 l	01700790	Veritas	1	KOM	       3,15		1.000					MPC 2.5.2025=3,15€	3850112169822	PIĆE
Tikveš vranac s.s. crveno kv. vino 0,75L	01700810	Tikveš	0.750	KOM	       8,92		1	L	11,76			MPC 2.5.2025=8,92€	5310008005033	PIĆE
Skaramuča Dingač vrhunsko vino 0,75 l	01700830	Vina Skaramuča	0.750	KOM	      14,79		1	L	19,59			MPC 2.5.2025=14,79€	3859888214019	PIĆE
Plavac mali barrique Roso kval. 0,75 l	01700833	Roso	0.750	KOM	       6,49		1	L	8,52			MPC 2.5.2025=5,52€	3859888568099	PIĆE
Zlatan Plenković rose kv. vino0,75l	01700852	Zlatan otok	0.750	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,52€	3859888437036	PIĆE
Marijan Arman Vino crveno Teran 0,75 L	01700867	Marijan Arman	0.750	KOM	      13,02		1	L	17,23			MPC 2.5.2025=13,02€	3859893024085	PIĆE
Ivan Dolac barrique 0,75 l	01700911	Badel 1862	0.750	KOM	      19,18		1	L	25,44			MPC 2.5.2025=19,18€	3850112169051	PIĆE
Zlatan Plavac barrique vrh. vino 0,75 l	01701151	Zlatan Plavac	0.750	KOM	      18,02		1	L	23,89			MPC 2.5.2025=18,02€	3859888437074	PIĆE
Zlatan Plavac Grand select vrh. 0,75l	01701310	Zlatan Plavac	0.750	KOM	      23,88		1	L	31,71			MPC 2.5.2025=23,88€	3859888437722	PIĆE
Orahovica frankovka kv. crno vino 0,75 l	01701320	Orahovica	0.750	KOM	       6,29		1	L	8,253			MPC 2.5.2025=5,45€	3859888114029	PIĆE
Cattunar Cab. Sauvignon vrh.vino 0,75 l	01701393	Vina Cattunar	0.750	KOM	      13,02		1	L	17,23			MPC 2.5.2025=13,02€	3859890724193	PIĆE
Vina Laguna Merlot kvalitetno vino 0,75l	01701421	Vina Laguna	0.750	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,38€	3858881190160	PIĆE
Madirazza Dingač vrhunsko vino 0,75 l	01701470	Madirazza	0.750	KOM	      21,09		1	L	27,99			MPC 2.5.2025=18,32€	3859889833011	PIĆE
Madirazza Postup vrh.crno vino  0,75 l	01701471	Madirazza	0.750	KOM	      16,19		1	L	21,45			MPC 2.5.2025=14,02€	3859889833028	PIĆE
Babić Vinoplod kv. crno vino 0,75 l	01701500	Babić	0.750	KOM	       9,99		1	L	13,19			MPC 2.5.2025=9,02€	3859888129122	PIĆE
Ždrepčeva Krv Vino crno 1L	01701510	Ždrepčeva krv	1	KOM	       4,29		1.000					MPC 2.5.2025=4,29€	8600102938076	PIĆE
J.P. Chenet Shiraz kval. vino 0,75 l	01701550	J.P. Chenet	0.750	KOM	       5,99		1	L	7,853			MPC 2.5.2025=5,02€	3263289998711	PIĆE
Plavac Mediterano vrh. crno vino 0,75 l	01701680	Plavac Mediterano	0.740	KOM	      11,99		1	L	15,85			MPC 2.5.2025=11,99€	3850112170309	PIĆE
Grand Sud Cabernet kval. vino 1 l	01701681	Grand Sud	1	KOM	       5,99		1.000					MPC 2.5.2025=5,99€	3263280104975	PIĆE
Iuris Cabernet sauvignon kv. vino 0,75 l	01701770	Iuris	0.750	KOM	      10,39		1	L	13,72			MPC 2.5.2025=9,49€	3859891102174	PIĆE
Merlot Laguna kv. crno vino 3 l bib	01701830	Laguna	3	KOM	      14,69		1	L	4,897			MPC 2.5.2025=14,69€	3858881191877	PIĆE
Cabernet sauvignon Laguna crno 3 l bib	01701831	Laguna	3	KOM	      14,69		1	L	4,897			MPC 2.5.2025=14,69€	3858881192447	PIĆE
Vina Laguna Rose kvalitetno vino 1 l	01701832	Vina Laguna	1	KOM	       5,99		1.000					MPC 2.5.2025=5,48€	3858881190832	PIĆE
Festigia Cabernet Sauvignon vrh. 0,75 l	01701834	Festigia	0.750	KOM	      13,32		1	L	17,63			MPC 2.5.2025=13,32€	3858881191938	PIĆE
Vina Belje Merlot vrhunsko vino 0,75 l	01702030	Vina Belje	0.750	KOM	      15,05		1	L	19,93			MPC 2.5.2025=15,05€	3850257019570	PIĆE
Palazzo Nobile Vino crno kv.Merlot 0,75L	01702100	Palazzo Nobile	0.750	KOM	       4,52		1	L	5,893			MPC 2.5.2025=4,52€	8009620849572	PIĆE
Palazzo Nobi Vino Cabernet Sauvign.0,75L	01702101	Palazzo Nobile	0.750	KOM	       4,52		1	L	5,893			MPC 2.5.2025=4,52€	8009620849565	PIĆE
Rose Laguna kvalitetno vino 0,75 l	01702470	Vina Laguna	0.750	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,28€	3858881190221	PIĆE
Vino Župa voćno vino kupine 0,75 l	01702490	Vino Župa	0.750	KOM	       6,02		1	L	7,893			MPC 2.5.2025=6,02€	8600133104211	PIĆE
Vino Župa voćno vino maline 0,75l	01702491	Vino Župa	0.750	KOM	       6,02		1	L	7,893			MPC 2.5.2025=6,02€	8600133104228	PIĆE
Vino Župa voćno vino borovnice 0,75l	01702492	Vino Župa	0.750	KOM	       6,02		1	L	7,893			MPC 2.5.2025=6,02€	8600133104235	PIĆE
Madirazza Vino Plavac mali vrhun. 0,75L	01702500	Madirazza	0.750	KOM	      11,49		1	L	15,19			MPC 2.5.2025=10,52€	3859889833424	PIĆE
Madirazza Plavac mali barr.vrh.0,75l	01702501	Madirazza	0.750	KOM	      15,39		1	L	20,39			MPC 2.5.2025=12,18€	3859889833325	PIĆE
Erdut Traminac kval. vino 0,75l	01800030	Vina Erdut	0.750	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,99€	3859889193016	HRANA
Iločki podrumi Graševina kv.vino 0,75l	01800036	Iločki podrumi	0.750	KOM	       7,99		1	L	10,52			MPC 2.5.2025=7,05€	3859889556453	HRANA
Vina Belje Graševina kvalitetno vino 1 l	01800093	Belje	1	KOM	       6,55		1.000					MPC 2.5.2025=6,55€	3850257019440	HRANA
Vina Belje Graševina kval. vino 0,75 l	01800094	Vina Belje	0.750	KOM	       7,99		1	L	10,52			MPC 2.5.2025=7,05€	3850257019020	HRANA
Vina Laguna Pinot Sivi kv. 0,75 l	01800108	Vina Laguna	0.750	KOM	       8,08		1	L	10,64			MPC 2.5.2025=8,08€	3858881190054	HRANA
Vina Laguna Chardonnay kv. 0,75 l	01800130	Vina laguna	0.750	KOM	       7,68		1	L	10,11			MPC 2.5.2025=7,68€	3858881190320	HRANA
Vina Belje Graševina 3L BIB	01800253	Belje	3	KOM	      14,99		1	L	4,997			MPC 2.5.2025=14,99€	3850257019457	HRANA
Jeruzalem Ormož Vino bij.Laški Rizling1L	01800383	Jeruzalem Ormož	1	KOM	       6,02		1.000					MPC 2.5.2025=6,02€	3830001600025	HRANA
Jeruzalem Ormož Vino bijelo Chardo.0,75L	01800391	Jeruzalem Ormož	0.750	KOM	       8,49		1	L	11,19			MPC 2.5.2025=8,02€	3830078701762	HRANA
Iločki podrumi Graševina vrh. vino 0,75l	01800440	Iločki podrumi	0.750	KOM	      12,05		1	L	15,93			MPC 2.5.2025=12,05€	3859889556781	HRANA
Iločki podrumi Traminac vrh. vino 0,75 l	01800441	Iločki podrumi	0.750	KOM	      13,05		1	L	17,27			MPC 2.5.2025=13,05€	3859889556774	HRANA
Graševina i Frankovk pokl.paket  2x0,75L	01800613	Feravino	1.500	KOM	      11,25		1	L	7,367			MPC 2.5.2025=10,68€	3859888852525	HRANA
Dika Graševina Feravino kv. vino 0,75 l	01800652	Feravino Dika	0.750	KOM	       6,32		1	L	8,293			MPC 2.5.2025=6,32€	3859888852020	HRANA
PZ Čara Pošip vrhunsko vino 0,75 l	01800713	PZ Čara	0.750	KOM	      20,09		1	L	26,65			MPC 2.5.2025=20,09€	3859889311014	HRANA
Erdut Graševina kval. vino 0,75L	01800740	Vina Erdut	0.749	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,99€	3859889193078	HRANA
Erdut Rajnski Rizling kval. vino 0,75L	01800741	Vina Erdut	0.749	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,99€	3859889193061	HRANA
Erdut Chardonnay kval. vino 0,75L	01800742	Vina Erdut	0.749	KOM	       6,99		1	L	9,187			MPC 2.5.2025=6,99€	3859889193030	HRANA
Arman Marijan Vino bije.polus.Muškat0,5L	01800862	Arman Marijan	0.500	KOM	      13,02		1	L	25,84			MPC 2.5.2025=13,02€	3859893024078	HRANA
Arman Marijan Vino bijelo Malvazija0,75L	01800863	Arman Marijan	0.750	KOM	      13,79		1	L	18,25			MPC 2.5.2025=12,52€	3859893024016	HRANA
Graševina Adžić Vino kv.bijelo 0,75L	01800873	Adžić	0.750	KOM	      17,19		1	L	22,79			MPC 2.5.2025=17,19€	3859890469025	HRANA
Enjingi Vino bij.Graš.2015 Bio 0,75l	01800875	Enjingi	0.750	KOM	      15,29		1	L	20,25			MPC 2.5.2025=13,92€	3859892375041	HRANA
Enjingi Vino bijelo Graš.Bio 0,75 l	01800876	Enjingi	0.750	KOM	      11,39		1	L	15,05			MPC 2.5.2025=9,92€	3859892375010	HRANA
Malvazija Matošević Alba kv.vino 0,75 l	01801004	Matošević	0.750	KOM	      17,49		1	L	23,19			MPC 10.6.2025=17,49€	3859892196011	HRANA
Katunar Vino Žlahtina kvalitetno 0,75 l	01801281	Katunar	0.750	KOM	       8,52		1	L	11,23			MPC 2.5.2025=8,52€	3859888755109	HRANA
Orahovica graševinakv.bij. vino 0,75 l	01801301	Orahovica	0.750	KOM	       6,29		1	L	8,253			MPC 2.5.2025=5,52€	3859888114043	HRANA
Orahovica silvanac Zeleni vrh.b.v.0,75l	01801306	Orahovica	0.750	KOM	       9,39		1	L	12,39			MPC 2.5.2025=8,52€	3859888114050	HRANA
Franc Arman Malvazija kv. vino 0,75 l	01801375	Franc Arman	0.750	KOM	      13,29		1	L	17,59			MPC 2.5.2025=13,29€	3859891697021	HRANA
Cattunar Malvazija istarska vrh. 0,75l	01801382	Cattunar	0.750	KOM	      12,48		1	L	16,51			MPC 2.5.2025=12,48€	3859890724018	HRANA
Vina Laguna Malvazija kv. vino 0,75 l	01801431	Laguna	0.750	KOM	       8,79		1	L	11,59			MPC 2.5.2025=8,79€	3858881190443	HRANA
Vina Belje Graševina vrhunsko vino 0,75l	01801720	Belje	0.750	KOM	      11,02		1	L	14,56			MPC 2.5.2025=11,02€	3850257019051	HRANA
Vina Belje Chardonnay vrh. vino 0,75L	01801721	Vina Belje	0.750	KOM	      12,09		1	L	15,99			MPC 2.5.2025=12,09€	3850257019167	HRANA
Iuris Sauvignon blanc Salt. 0,75 l	01801860	Vinarija Iuris	0.750	KOM	      10,42		1	L	13,76			MPC 2.5.2025=10,42€	3859891102044	HRANA
Galić Vino bijelo Graševina 0,75 l	01802045	Galić	0.750	KOM	      14,99		1	L	19,85			MPC 2.5.2025=14,99€	3859891991020	HRANA
Gatao Vinho Verde bijelo vino 0,75 l	01802157	Gatao	0.750	KOM	       6,49		1	L	8,52			MPC 2.5.2025=6,49€	5601129032009	HRANA
Prodan Vino bij.kv.Malvazija istar.0,75L	01802240	Vinarija Prodan	0.750	KOM	       6,69		1	L	8,787			MPC 2.5.2025=6,69€	3859890283072	HRANA
Prodan Vino bij.kval.Muškat 0,75L	01802242	Vinarija Prodan	0.750	KOM	       9,69		1	L	12,79			MPC 2.5.2025=8,99€	3859890283010	HRANA
Madirazza Pošip vrhunsko vino 0,75 l	01802440	Madirazza	0.750	KOM	      15,79		1	L	20,92			MPC 2.5.2025=13,72€	3859889833462	HRANA
Robby Bubble pjenušac jagoda 0,75L	01900024	Robby Bubble	0.750	KOM	       3,88		1	L	5,04			MPC 2.5.2025=3,88€	8595004610123	PIĆE
Robby Bubble pjenušac breskva 0,75L	01900025	Robby Bubble	0.750	KOM	       3,88		1	L	5,04			MPC 2.5.2025=3,88€	8595004610130	PIĆE
Henkell trocken pjenušavo vino 0,75l	01900060	Henkell	0.750	KOM	      10,99		1	L	14,52			MPC 2.5.2025=10,99€	4003310011625	PIĆE
Freixenet Carta Nevada 0,75L	01900090	Freixenet	0.750	KOM	      10,99		1	L	14,52			MPC 2.5.2025=9,99€	8410036002015	PIĆE
Sohnlein Brillant pjenušac 11,5% 0,75 l	01900151	Sohnlein Brillant	0.750	KOM	       8,99		1	L	11,85			MPC 2.5.2025=7,89€	4003310013568	PIĆE
Freixenet pjenušavo vino Negro 0,75 l	01900161	Freixenet	0.750	KOM	      12,49		1	L	16,52			MPC 2.5.2025=11,99€	8410036009090	PIĆE
Šampanjac Moet & Chandon Brut 12% 0,75l	01900210	Moet & Chandon	0.750	KOM	      59,99		1	L	79,85			MPC 2.5.2025=55,02€	3185370729960	PIĆE
Radgonske gorice Vino Sreb.penina 0,75l	01900360	Radgonske gorice	0.750	KOM	       9,85		1	L	  13			MPC 2.5.2025=7,29€	3830000341110	PIĆE
Römer Krönung pjenušavo vino rose 0,75 l	01900391	Römer Krönung	0.750	KOM	       3,29		1	L	4,253			MPC 2.5.2025=2,68€	4002391183207	PIĆE
Robby Bubble pjenušac malina 0,75 L	01900400	Robby Bubble	0.750	KOM	       3,88		1	L	5,04			MPC 2.5.2025=3,88€	8595004610420	PIĆE
Römer Krönung pjenušavo polus.vino 0,75l	01900420	Römer Krönung	0.750	KOM	       3,29		1	L	4,253			MPC 2.5.2025=2,68€	4002391003000	PIĆE
Römer Krönung pjenušavo suho vino 0,75l	01900421	Römer Krönung	0.750	KOM	       3,29		1	L	4,253			MPC 2.5.2025=2,68€	4002391155105	PIĆE
Martini vermouth bianco 15% 1L	02000038	Martini	1	KOM	      17,49		1.000					MPC 2.5.2025=15,95€	7630040408820	PIĆE
Campari bitter aperitiv 25% 1l	02000184	Campari	1	KOM	      21,99		1.000					MPC 2.5.2025=24,99€	8000040000802	PIĆE
Cherrica "Čuturica" 18% 0,7 l	02000232	Maraska	0.750	KOM	      13,02		1	L	18,46			MPC 2.5.2025=13,02€	3850158400903	PIĆE
Cynar 16,5% 0,7 l	02000270	#	0.700	KOM	      14,49		1	L	20,56			MPC 2.5.2025=14,49€	8002240001023	PIĆE
Aperol 11% 0,7 l	02000271	Aperol	0.700	KOM	      13,29	A	1	L	18,84	      13,29	18,99	MPC 2.5.2025=17,89€	8002230000302	PIĆE
Badel domaći 35% 1 l	02100020	Badel	1	KOM	      11,05		1.000					MPC 2.5.2025=10,46€	3850112145109	PIĆE
Badel domaći 35% 0,5 l	02100021	Badel	0.480	KOM	       7,02		1	L	13,84			MPC 2.5.2025=7,02€	3850112145123	PIĆE
Badel prima brand 35% 1 l	02100026	Badel	1	KOM	      10,99		1.000					MPC 2.5.2025=10,99€	3850112141194	PIĆE
Badel prima brandy 35% 0,5 l	02100027	Badel	0.480	KOM	       7,02		1	L	13,84			MPC 2.5.2025=7,02€	3850112141217	PIĆE
B_Badel prima brand 35% 0,1 l	02100028	Badel	0.100	KOM	       1,65		1	L	16,5			MPC 2.5.2025=1,65€	3850112141231	PIĆE
Ballantines whisky 40% gola boca 0,7 l	02100031	Ballantines	0.700	KOM	      16,19		1	L	22,99			MPC 2.5.2025=15,52€	5010106113127	PIĆE
Old Smuggler Whisky 40% 0,7 l	02100034	Old Smuggler	0.700	KOM	      12,99		1	L	18,41			MPC 2.5.2025=12,59€	5010327605005	PIĆE
Zvečevo domaći brend 35% 1 l	02100042	Zvečevo	1	KOM	      10,62		1.000					MPC 2.5.2025=10,62€	3858881060258	PIĆE
Stock 84 38% 1 l	02100100	Stock	1	KOM	      17,99		1.000					MPC 2.5.2025=18,02€	8000440396383	PIĆE
Maraska domaći room 35% 0,5l	02100131	Maraska	0.500	KOM	       6,49		1	L	12,78			MPC 2.5.2025=5,99€	3850158201531	PIĆE
Rum domaći Maraska 35% 1l	02100132	Maraska	1	KOM	      10,99		1.000					MPC 2.5.2025=9,92€	3850158201708	PIĆE
Ballantine`s Finest Whisky+2 čaše40%0,7L	02100150	Ballantine`s	0.700	KOM	      18,69		1.000					MPC 2.5.2025=16,21€	5010106114667	PIĆE
B_Badel domaći 35% 0,1 l	02100164	Badel	0.100	KOM	       1,69		1	L	16,9			MPC 2.5.2025=1,69€	3850112145147	PIĆE
